| 3. September 2008|<a href="/Treffen/Termine/09_2008/">Septembertreffen 2008</a>|
| 6. August 2008|<a href="/Treffen/Termine/08_2008/">Augusttreffen 2008</a>|
| 2. Juli 2008|<a href="/Treffen/Termine/07_2008/">Julitreffen 2008</a>|
| 4. Juni 2008|<a href="/Treffen/Termine/06_2008/">Junitreffen 2008</a>|
| 7. Mai 2008|<a href="/Treffen/Termine/05_2008/">Maitreffen 2008</a>|
| 2. April 2008|<a href="/Treffen/Termine/04_2008/">Apriltreffen 2008</a>|
| 5. März 2008|<a href="/Treffen/Termine/03_2008/">Märztreffen 2008</a>|
| 6. Februar 2008|<a href="/Treffen/Termine/02_2008/">Februartreffen 2008</a>|Vorbesprechung LIT 2008|
| 2. Januar 2008|<a href="/Treffen/Termine/01_2008/">Januartreffen 2008</a>|
|2007|
| 5. Dezember 2007|<a href="/Treffen/Termine/12_2007/">Dezembertreffen 2007</a>|
| 7. November 2007|<a href="/Treffen/Termine/11_2007/">Novembertreffen 2007</a>|
| 3. Oktober 2007|<a href="/Treffen/Termine/10_2007/">Oktobertreffen 2007</a>|Projekttag ab 13:00 Uhr!|
| 5. September 2007|<a href="/Treffen/Termine/09_2007/">Septembertreffen 2007</a>|
| 1. August 2007|<a href="/Treffen/Termine/08_2007/">Augusttreffen 2007</a>|Vortrag: OLSR und BATMAN (Martin Röcker)|
| 4. Juli 2007|<a href="/Treffen/Termine/07_2007/">Julitreffen 2007</a>|Vortrag: <a href="/Angebote/Vortraege/Perl_Workshop_III//">Perl-Workshop III</a> (Ingo Blechschmidt, Michael Hartmann)|
| 6. Juni 2007|<a href="/Treffen/Termine/06_2007/">Junitreffen 2007</a>|
| 2. Mai 2007|<a href="/Treffen/Termine/05_2007/">Maitreffen 2007</a>|
| 4. April 2007|<a href="/Treffen/Termine/04_2007/">Apriltreffen 2007</a>|
| 7. März 2007|<a href="/Treffen/Termine/03_2007/">Märztreffen 2007</a>|Vorbesprechung Linux-Infotag|
| 7. Februar 2007|<a href="/Treffen/Termine/02_2007/">Februartreffen 2007</a>|Vortrag: <a href="/Angebote/Vortraege/Perl_Workshop_II//">Perl-Workshop II</a> (Ingo Blechschmidt, Michael Hartmann)|
